SoffiXsponR570.02Cg375400.1.p	ABI3VP1	TFF
SoffiXsponR570.02Bg326300.1.p	SET	OTR
SoffiXsponR570.01Fg260600.1.p	TRAF	OTR
SoffiXsponR570.01Dg277700.8.p	GRAS	TFF
SoffiXsponR570.04Ag122100.1.p	zf-C5HC2	TFF
SoffiXsponR570.02Fg150800.1.p	bZIP	TFF
SoffiXsponR570.03Bg203500.1.p	GRAS	TFF
SoffiXsponR570.02Bg059900.2.p	MYB-related	TFF
SoffiXsponR570.08Bg051600.1.p	NAC	TFF
SoffiXsponR570.03Bg212300.3.p	MYB-related	TFF
SoffiXsponR570.8_10Ag257700.1.p	AP2-EREBP	TFF
SoffiXsponR570.08Cg199000.1.p	WRKY	TFF
SoffiXsponR570.06Cg122900.3.p	NOT2_3_5	OTR
SoffiXsponR570.01Ag386800.4.p	C3H	TFF
SoffiXsponR570.03Cg003900.1.p	MADS	TFF
SoffiXsponR570.10Dg166800.1.p	C2C2-Dof	TFF
SoffiXsponR570.01Eg141300.2.p	HB	TFF
SoffiXsponR570.5_9Ag029900.1.p	DDT	OTR
SoffiXsponR570.9us90g047400.1.p	ABI3VP1	TFF
SoffiXsponR570.07Dg207600.1.p	SBP	TFF
SoffiXsponR570.06Ag055900.1.p	HMG	OTR
SoffiXsponR570.6_9Ag176400.1.p	NAC	TFF
SoffiXsponR570.8_5Ag229200.1.p	SART-1	OTR
SoffiXsponR570.8_5Ag165600.1.p	MYB	TFF
SoffiXsponR570.10Ag056900.4.p	MED26	OTR
SoffiXsponR570.5_9Ag405500.2.p	C2C2-GATA	TFF
SoffiXsponR570.06Fg091600.1.p	WRKY	TFF
SoffiXsponR570.01Fg289400.4.p	HB	TFF
SoffiXsponR570.05Ag322300.2.p	GRAS	TFF
SoffiXsponR570.05Eg215800.1.p	NAC	TFF
SoffiXsponR570.02Gg274100.2.p	TRAF	OTR
SoffiXsponR570.03Dg179100.1.p	C2H2	TFF
SoffiXsponR570.01Dg122300.1.p	Tify	TFF
SoffiXsponR570.01Bg130000.1.p	HB	TFF
SoffiXsponR570.03Eg270100.3.p	zf-C5HC2	TFF
SoffiXsponR570.03Dg023000.1.p	PHD	OTR
SoffiXsponR570.1Z123500.1.p	Top	TFF
SoffiXsponR570.8_5Ag194700.5.p	SBP	TFF
SoffiXsponR570.03Cg055200.3.p	ARF	TFF
SoffiXsponR570.01Eg368900.1.p	MYB-related	TFF
SoffiXsponR570.03Cg007900.1.p	zf-BED	TFF
SoffiXsponR570.03Cg305700.1.p	bHLH	TFF
SoffiXsponR570.08Cg052500.1.p	NAC	TFF
SoffiXsponR570.08Ag084900.1.p	AP2-EREBP	TFF
SoffiXsponR570.03Dg311600.1.p	AP2-EREBP	TFF
SoffiXsponR570.01Fg092100.5.p	MED26	OTR
SoffiXsponR570.10Dg097900.1.p	WRKY	TFF
SoffiXsponR570.02Cg009800.2.p	MYB	TFF
SoffiXsponR570.09Bg051500.2.p	TUB	TFF
SoffiXsponR570.07Ag048400.3.p	WRKY	TFF
SoffiXsponR570.05Ag083800.3.p	bZIP	TFF
SoffiXsponR570.01Dg346200.1.p	HB	TFF
SoffiXsponR570.02Dg307900.4.p	SET	OTR
SoffiXsponR570.05Eg286500.3.p	GRAS	TFF
SoffiXsponR570.08Bg135500.2.p	SGT1	OTR
SoffiXsponR570.07Ag158100.2.p	bHLH	TFF
SoffiXsponR570.05Fg152000.1.p	NAC	TFF
SoffiXsponR570.01Ag483300.1.p	AP2-EREBP	TFF
SoffiXsponR570.06Ag083600.1.p	AP2-EREBP	TFF
SoffiXsponR570.09Bg101100.1.p	MYB	TFF
SoffiXsponR570.07Bg053000.1.p	TIG	TFF
SoffiXsponR570.03Fg006600.10.p	Jumonji	OTR
SoffiXsponR570.02Dg419500.1.p	WRKY	TFF
SoffiXsponR570.07Dg017000.1.p	ABI3VP1	TFF
SoffiXsponR570.9us90g035700.4.p	GRAS	TFF
SoffiXsponR570.02Dg043200.1.p	OFP	TFF
SoffiXsponR570.05Gg132900.1.p	ABI3VP1	TFF
SoffiXsponR570.01Cg234200.1.p	MYB-related	TFF
SoffiXsponR570.02Gg151700.1.p	MYB-related	TFF
SoffiXsponR570.03Cg270000.1.p	MYB	TFF
SoffiXsponR570.03Gg046200.1.p	ARF	TFF
SoffiXsponR570.5_9Ag184900.1.p	bZIP	TFF
SoffiXsponR570.04Bg190200.2.p	HB	TFF
SoffiXsponR570.01Bg388200.1.p	bHLH	TFF
SoffiXsponR570.03Bg227000.2.p	zf-HD	TFF
SoffiXsponR570.02Dg280700.1.p	TCP	TFF
SoffiXsponR570.01Fg011800.6.p	C2C2-Dof	TFF
SoffiXsponR570.02Cg213100.1.p	GRAS	TFF
SoffiXsponR570.03Cg218000.1.p	PLATZ	TFF
SoffiXsponR570.05Fg173500.1.p	bZIP	TFF
SoffiXsponR570.08Bg129000.1.p	MYB	TFF
SoffiXsponR570.02Eg002500.2.p	ARF	TFF
SoffiXsponR570.03Eg020300.1.p	bHLH	TFF
SoffiXsponR570.02Ag180800.1.p	C2H2	TFF
SoffiXsponR570.04Ag031900.3.p	BBR/BPC	TFF
SoffiXsponR570.06Ag072200.2.p	bHLH	TFF
SoffiXsponR570.03Eg037300.3.p	RWP-RK	TFF
SoffiXsponR570.01Fg319700.1.p	FAR1	TFF
SoffiXsponR570.02Dg082200.1.p	AP2-EREBP	TFF
SoffiXsponR570.01Ag352000.3.p	bHLH	TFF
SoffiXsponR570.1Z097400.1.p	SWI/SNF-BAF60b	OTR
SoffiXsponR570.08Cg116500.1.p	NAC	TFF
SoffiXsponR570.04Dg142800.5.p	Top	TFF
SoffiXsponR570.03Eg200700.1.p	ARR-B	TFF
SoffiXsponR570.6_9Ag330300.1.p	SET	OTR
SoffiXsponR570.01Ag353900.1.p	TIG	TFF
SoffiXsponR570.02Fg127800.2.p	WRKY	TFF
SoffiXsponR570.02Fg330900.2.p	TRAF	OTR
SoffiXsponR570.01Ag340700.1.p	CCAAT	TFF
SoffiXsponR570.7_10Ag022600.1.p	MYB	TFF
SoffiXsponR570.08Eg142100.3.p	WRKY	TFF
SoffiXsponR570.01Cg375100.1.p	NAC	TFF
SoffiXsponR570.02Ag247100.2.p	AP2-EREBP	TFF
SoffiXsponR570.03Ag267200.1.p	C2C2-CO-like	TFF
SoffiXsponR570.02Fg207400.5.p	bZIP	TFF
SoffiXsponR570.6us88g002500.6.p	ABI3VP1	TFF
SoffiXsponR570.03Bg182100.4.p	SET	OTR
SoffiXsponR570.09Dg003600.3.p	SAP	TFF
SoffiXsponR570.05Gg030200.3.p	MYB	TFF
SoffiXsponR570.07Ag185900.1.p	MYB-related	TFF
SoffiXsponR570.10Ag200100.1.p	C2C2-Dof	TFF
SoffiXsponR570.05Bg331800.5.p	Tify	TFF
SoffiXsponR570.01Bg028200.1.p	GRAS	TFF
SoffiXsponR570.08Cg178100.1.p	TRAF	OTR
SoffiXsponR570.02Cg257700.1.p	MADS	TFF
SoffiXsponR570.03Cg061600.1.p	PLATZ	TFF
SoffiXsponR570.05Eg133200.1.p	WRKY	TFF
SoffiXsponR570.07Bg075200.1.p	SWI/SNF-BAF60b	OTR
SoffiXsponR570.10Dg002700.2.p	SAP	TFF
SoffiXsponR570.03Cg228400.4.p	MYB-related	TFF
SoffiXsponR570.08Cg200800.1.p	CCAAT	TFF
SoffiXsponR570.01Fg285400.2.p	C2C2-Dof	TFF
